日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,3824.18,3806.5,3827.0,3783.15,404634545,510003130368.0,1.15,-0.2,-7.8,0.87
2022-01-05,3802.23,3767.52,3802.23,3755.22,423481126,538639437824.0,1.23,-1.02,-38.98,0.92
2022-01-06,3752.88,3757.99,3766.86,3730.49,371164951,474008322048.0,0.97,-0.25,-9.53,0.8
2022-01-07,3761.04,3751.34,3780.28,3748.77,436056069,502650146816.0,0.84,-0.18,-6.65,0.94
2022-01-10,3744.22,3766.03,3766.03,3725.8,356013258,443197214720.0,1.07,0.39,14.69,0.77
2022-01-11,3762.26,3738.63,3774.99,3733.68,359500598,441087459328.0,1.1,-0.73,-27.4,0.78
2022-01-12,3749.86,3770.09,3772.31,3743.48,342860828,435611979776.0,0.77,0.84,31.46,0.74
2022-01-13,3773.87,3725.74,3773.95,3725.64,369105490,456774979584.0,1.28,-1.18,-44.35,0.8
2022-01-14,3713.99,3689.96,3718.54,3687.93,376730547,463029522432.0,0.82,-0.96,-35.78,0.81
2022-01-17,3690.83,3711.46,3716.06,3688.02,312574298,437998465024.0,0.76,0.58,21.5,0.68
2022-01-18,3711.69,3741.12,3751.04,3700.64,376952970,470676135936.0,1.36,0.8,29.66,0.81
2022-01-19,3738.75,3728.82,3750.42,3711.47,333029271,420610564096.0,1.04,-0.33,-12.3,0.72
2022-01-20,3726.71,3725.56,3747.8,3710.35,379342300,459581788160.0,1.0,-0.09,-3.26,0.82
2022-01-21,3716.82,3691.48,3717.08,3683.43,326287913,417584533504.0,0.9,-0.91,-34.08,0.71
2022-01-24,3676.45,3693.1,3701.05,3668.16,280012436,357810200576.0,0.89,0.04,1.62,0.61
2022-01-25,3677.58,3597.65,3688.67,3597.65,326935644,383473119232.0,2.46,-2.58,-95.45,0.71
2022-01-26,3607.8,3621.42,3628.13,3581.65,274946941,338160013312.0,1.29,0.66,23.77,0.59
2022-01-27,3621.86,3556.99,3622.14,3554.64,280389248,346380693504.0,1.86,-1.78,-64.43,0.61
2022-01-28,3570.99,3522.48,3580.92,3517.42,290502116,353519767552.0,1.79,-0.97,-34.51,0.63
2022-02-07,3571.14,3594.01,3598.72,3571.14,320208968,356905492480.0,0.78,2.03,71.53,0.69
2022-02-08,3592.91,3618.24,3618.84,3552.99,365833257,387749437440.0,1.83,0.67,24.23,0.79
2022-02-09,3616.33,3646.86,3651.9,3609.22,349963645,393480654848.0,1.18,0.79,28.62,0.76
2022-02-10,3648.92,3653.11,3656.2,3630.35,355415903,404814422016.0,0.71,0.17,6.25,0.77
2022-02-11,3638.78,3629.05,3668.15,3625.25,361055898,426085740544.0,1.17,-0.66,-24.06,0.78
2022-02-14,3617.42,3593.4,3623.13,3579.32,314987579,361438773248.0,1.21,-0.98,-35.65,0.68
2022-02-15,3592.53,3611.52,3612.99,3585.81,275313485,341454573568.0,0.76,0.5,18.12,0.59
2022-02-16,3623.07,3632.27,3641.91,3619.62,274805458,325421867008.0,0.62,0.57,20.75,0.59
2022-02-17,3630.57,3634.64,3648.25,3620.16,297041393,355593216000.0,0.77,0.07,2.37,0.64
2022-02-18,3617.44,3658.5,3658.5,3612.61,294822139,326999019520.0,1.26,0.66,23.86,0.64
2022-02-21,3656.06,3658.36,3660.03,3638.49,301166774,345105461248.0,0.59,0.0,-0.14,0.65
2022-02-22,3640.17,3623.2,3640.28,3602.81,325898529,387409903616.0,1.02,-0.96,-35.16,0.7
2022-02-23,3624.64,3656.72,3658.42,3624.3,325275305,415396438016.0,0.94,0.93,33.52,0.7
2022-02-24,3641.22,3594.62,3654.42,3563.44,487899003,569508495360.0,2.49,-1.7,-62.1,1.05
2022-02-25,3610.78,3617.17,3647.25,3606.14,377138002,441400336384.0,1.14,0.63,22.55,0.82
2022-02-28,3616.02,3628.66,3628.66,3590.05,345433032,413495222272.0,1.07,0.32,11.49,0.75
2022-03-01,3638.14,3656.55,3658.96,3632.27,325558536,412206891008.0,0.74,0.77,27.89,0.7
2022-03-02,3645.49,3651.71,3654.27,3633.68,328999649,379862601728.0,0.56,-0.13,-4.84,0.71
2022-03-03,3664.04,3648.53,3668.61,3640.32,412295603,443443920896.0,0.77,-0.09,-3.18,0.89
2022-03-04,3626.37,3613.44,3642.01,3602.98,393227233,430475059200.0,1.07,-0.96,-35.09,0.85
2022-03-07,3603.91,3534.89,3603.91,3522.21,393233469,457818505216.0,2.26,-2.17,-78.55,0.85
2022-03-08,3534.65,3451.81,3546.28,3445.26,415485123,485286780928.0,2.86,-2.35,-83.08,0.9
2022-03-09,3462.48,3412.88,3481.13,3298.72,465829107,519521456128.0,5.28,-1.13,-38.93,1.01
2022-03-10,3471.4,3454.57,3486.57,3449.42,378021478,465797701632.0,1.09,1.22,41.69,0.82
2022-03-11,3415.98,3469.03,3475.26,3372.12,383830820,458460577792.0,2.99,0.42,14.46,0.83
2022-03-14,3429.31,3378.68,3456.54,3378.68,337727908,417842802688.0,2.24,-2.6,-90.35,0.73
2022-03-15,3345.95,3211.42,3350.89,3211.42,464432865,507670466560.0,4.13,-4.95,-167.26,1.0
2022-03-16,3257.28,3323.35,3330.77,3168.68,444207849,522007322624.0,5.05,3.49,111.93,0.96
2022-03-17,3369.82,3369.75,3417.13,3357.09,420403436,532215320576.0,1.81,1.4,46.4,0.91
2022-03-18,3361.48,3407.57,3417.75,3351.19,372661588,428181323776.0,1.98,1.12,37.82,0.81
2022-03-21,3412.3,3410.16,3424.73,3378.35,353908544,420870578176.0,1.36,0.08,2.59,0.76
2022-03-22,3405.82,3416.64,3436.91,3395.34,360933952,402622533632.0,1.22,0.19,6.48,0.78
2022-03-23,3421.82,3428.37,3437.67,3408.38,349637156,405271736320.0,0.86,0.34,11.73,0.76
2022-03-24,3412.7,3406.56,3424.03,3392.28,328755205,390573199360.0,0.93,-0.64,-21.81,0.71
2022-03-25,3403.3,3366.68,3413.76,3366.04,339736896,389628100608.0,1.4,-1.17,-39.88,0.73
2022-03-28,3338.27,3369.07,3385.55,3311.7,344704668,374300704768.0,2.19,0.07,2.39,0.74
2022-03-29,3370.68,3357.94,3384.44,3350.09,315953628,363760963584.0,1.02,-0.33,-11.13,0.68
2022-03-30,3372.26,3423.74,3423.74,3370.9,366342922,412714930176.0,1.57,1.96,65.8,0.79
2022-03-31,3412.75,3408.61,3429.46,3402.18,398118021,427895812096.0,0.8,-0.44,-15.13,0.86
2022-04-01,3390.19,3440.64,3445.39,3381.4,377852833,405433475072.0,1.88,0.94,32.03,0.82
2022-04-06,3426.7,3441.33,3446.31,3412.27,429179233,433278717952.0,0.99,0.02,0.69,0.93
2022-04-07,3424.95,3392.36,3448.51,3392.13,402192809,397840998400.0,1.64,-1.42,-48.97,0.87
2022-04-08,3395.69,3408.23,3413.79,3362.65,413427372,413774831616.0,1.51,0.47,15.87,0.89
2022-04-11,3395.64,3319.34,3395.64,3308.19,423708767,434852519936.0,2.57,-2.61,-88.89,0.92
2022-04-12,3317.22,3367.82,3369.03,3291.75,417837007,422143102976.0,2.33,1.46,48.48,0.9
2022-04-13,3353.55,3339.98,3380.58,3336.55,390632663,397895933952.0,1.31,-0.83,-27.84,0.84
2022-04-14,3357.64,3380.73,3395.81,3354.14,370711096,400861564928.0,1.25,1.22,40.75,0.8
2022-04-15,3365.03,3365.69,3385.23,3354.09,407208195,413070127104.0,0.92,-0.44,-15.04,0.88
2022-04-18,3339.12,3349.13,3358.08,3319.24,347045796,366175363072.0,1.15,-0.49,-16.56,0.75
2022-04-19,3345.53,3347.55,3362.06,3327.29,339599178,362523516928.0,1.04,-0.05,-1.58,0.73
2022-04-20,3343.21,3302.51,3345.26,3293.06,361633236,373293150208.0,1.56,-1.35,-45.04,0.78
2022-04-21,3289.28,3227.82,3312.87,3217.18,391554317,396306317312.0,2.9,-2.26,-74.69,0.85
2022-04-22,3205.35,3235.27,3254.92,3195.88,341719770,348617453568.0,1.83,0.23,7.45,0.74
2022-04-25,3179.98,3069.17,3190.09,3069.16,433064525,426727346176.0,3.74,-5.13,-166.1,0.94
2022-04-26,3071.16,3025.03,3099.74,3016.48,401286451,395732758528.0,2.71,-1.44,-44.14,0.87
2022-04-27,3004.42,3100.34,3101.28,3001.1,422683666,422635905024.0,3.31,2.49,75.31,0.91
2022-04-28,3087.22,3118.4,3135.21,3077.86,374997460,388418285568.0,1.85,0.58,18.06,0.81
2022-04-29,3129.51,3193.33,3194.88,3110.79,423443694,440052318208.0,2.7,2.4,74.93,0.92
2022-05-05,3191.08,3215.1,3230.27,3188.2,382561871,408915382272.0,1.32,0.68,21.77,0.83
2022-05-06,3155.91,3145.63,3176.24,3136.4,342897139,345916534784.0,1.24,-2.16,-69.47,0.74
