symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
sh600219,600219,南山铝业,4.170,-0.03,-0.714,4.170,4.180,4.200,4.210,4.260,4.170,81684860,344236624,15:00:01,13.9,0.982,4882466.537616,4882466.537616,0.69765
sh600233,600233,圆通速递,16.500,0.18,1.103,16.500,16.520,16.320,16.260,16.840,16.220,20752162,345057322,15:00:00,15.257,1.859,5684899.66605,5684899.66605,0.60232
sh600276,600276,恒瑞医药,47.700,-0.75,-1.548,47.690,47.700,48.450,48.270,48.700,47.700,33086981,1593427809,15:00:00,70.147,6.952,30427840.84698,30427840.84698,0.51869
sh600309,600309,万华化学,76.990,-1.08,-1.383,76.980,76.990,78.070,78.070,78.860,76.800,18863374,1460729289,15:00:01,14.364,2.594,24172909.273574,24172909.273574,0.60079
sh600332,600332,白云山,28.890,-0.29,-0.994,28.890,28.900,29.180,29.170,29.370,28.890,6699899,195274619,15:00:01,11.579,1.297,4696910.051661,4061618.951661,0.47656
sh600346,600346,恒力石化,14.930,-0.11,-0.731,14.930,14.940,15.040,15.030,15.200,14.800,21119266,317269159,15:00:00,15.235,1.714,10509375.980498,10509375.980498,0.30003
sh600362,600362,江西铜业,21.800,-0.21,-0.954,21.800,21.810,22.010,22.100,22.300,21.800,16664176,367513494,15:00:01,11.596,0.995,7548750.1029,4524039.3429,0.803
sh600372,600372,中航机载,12.800,-0.33,-2.513,12.790,12.800,13.130,13.110,13.210,12.780,44344441,576072508,15:00:03,29.291,1.672,6193787.6864,6088706.30144,0.93223
sh600406,600406,国电南瑞,26.210,-0.21,-0.795,26.210,26.230,26.420,26.210,26.790,25.910,26045987,686194822,15:00:01,29.122,4.57,21054031.908438,20927334.435394,0.32621
sh600415,600415,小商品城,11.510,-0.3,-2.54,11.500,11.510,11.810,11.780,12.060,11.470,61475955,720030238,15:00:00,23.49,3.195,6311676.460826,6296238.097826,1.12383
sh600426,600426,XD华鲁恒,22.640,-0.19,-0.832,22.630,22.640,22.830,22.840,23.050,22.630,16360593,373284163,15:00:01,13.404,1.562,4807075.72956,4789929.5746,0.7733
sh600436,600436,片仔癀,244.590,-3.37,-1.359,244.550,244.590,247.960,246.200,249.400,244.000,1836844,453683726,15:00:01,52.713,10.524,14756535.63939,14756535.63939,0.30446
sh600438,600438,通威股份,26.550,-2.35,-8.131,26.550,26.560,28.900,28.740,29.250,26.510,105016808,2893618030,15:00:00,8.806,2.412,11952764.841105,11952764.841105,2.33268
