日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,3649.15,3632.33,3651.89,3610.09,405027768,510251061248.0,1.15,-0.2,-7.45,0.87
2022-01-05,3628.26,3595.18,3628.26,3583.47,423902029,538963632128.0,1.23,-1.02,-37.15,0.91
2022-01-06,3581.22,3586.08,3594.49,3559.88,371540544,474284290048.0,0.96,-0.25,-9.1,0.8
2022-01-07,3588.99,3579.54,3607.23,3577.1,436306962,502891433984.0,0.84,-0.18,-6.54,0.94
2022-01-10,3572.74,3593.52,3593.52,3555.13,356222610,443400847360.0,1.07,0.39,13.98,0.77
2022-01-11,3589.9,3567.44,3602.15,3562.75,359761864,441300566016.0,1.1,-0.73,-26.08,0.77
2022-01-12,3578.16,3597.43,3599.5,3572.1,343132956,435817893888.0,0.77,0.84,29.99,0.74
2022-01-13,3601.03,3555.26,3601.07,3555.16,369368366,457005420544.0,1.28,-1.17,-42.17,0.8
2022-01-14,3544.07,3521.26,3548.42,3519.32,376937024,463197642752.0,0.82,-0.96,-34.0,0.81
2022-01-17,3522.09,3541.67,3546.09,3519.43,312886733,438272983040.0,0.76,0.58,20.41,0.67
2022-01-18,3541.89,3569.91,3579.31,3531.33,377146435,470832037888.0,1.35,0.8,28.24,0.81
2022-01-19,3567.63,3558.18,3578.73,3541.66,333235269,420763365376.0,1.04,-0.33,-11.73,0.72
2022-01-20,3556.23,3555.06,3576.26,3540.55,379509847,459701841920.0,1.0,-0.09,-3.12,0.82
2022-01-21,3546.75,3522.57,3547.0,3514.89,326534881,417768923136.0,0.9,-0.91,-32.49,0.7
2022-01-24,3508.24,3524.11,3531.61,3500.14,280268342,358009696256.0,0.89,0.04,1.54,0.6
2022-01-25,3509.28,3433.06,3519.83,3433.06,327353812,383727738880.0,2.46,-2.58,-91.05,0.71
2022-01-26,3442.69,3455.67,3462.12,3417.76,275122829,338312359936.0,1.29,0.66,22.61,0.59
2022-01-27,3456.1,3394.25,3456.36,3392.02,280606533,346533957632.0,1.86,-1.78,-61.42,0.6
2022-01-28,3407.59,3361.44,3417.05,3356.56,290855258,353774612480.0,1.78,-0.97,-32.81,0.63
2022-02-07,3407.76,3429.58,3434.03,3407.76,320485212,357140422656.0,0.78,2.03,68.14,0.69
2022-02-08,3428.54,3452.63,3453.19,3390.46,366093865,387969867776.0,1.83,0.67,23.05,0.79
2022-02-09,3450.82,3479.95,3484.74,3444.08,350249935,393719988224.0,1.18,0.79,27.32,0.75
2022-02-10,3481.91,3485.91,3488.86,3464.22,355666268,404969418752.0,0.71,0.17,5.96,0.77
2022-02-11,3472.28,3462.95,3500.15,3459.33,361356091,426297925632.0,1.17,-0.66,-22.96,0.78
2022-02-14,3451.85,3428.88,3457.26,3415.45,315274447,361677856768.0,1.21,-0.98,-34.07,0.68
2022-02-15,3428.04,3446.09,3447.49,3421.64,275559322,341638877184.0,0.75,0.5,17.21,0.59
2022-02-16,3457.07,3465.83,3475.06,3453.8,274993912,325563412480.0,0.62,0.57,19.74,0.59
2022-02-17,3464.21,3468.04,3480.97,3454.28,297262682,355783127040.0,0.77,0.06,2.21,0.64
2022-02-18,3451.63,3490.76,3490.76,3447.03,295149962,327220391936.0,1.26,0.66,22.72,0.64
2022-02-21,3488.41,3490.61,3492.2,3471.69,301541740,345398587392.0,0.59,0.0,-0.15,0.65
2022-02-22,3473.29,3457.15,3473.39,3437.67,326279483,387678928896.0,1.02,-0.96,-33.46,0.7
2022-02-23,3458.51,3489.15,3490.76,3458.18,325604895,415630340096.0,0.94,0.93,32.0,0.7
2022-02-24,3474.37,3429.96,3486.98,3400.21,488354900,569794043904.0,2.49,-1.7,-59.19,1.05
2022-02-25,3445.34,3451.41,3480.18,3440.93,377542556,441659490304.0,1.14,0.63,21.45,0.81
2022-02-28,3450.32,3462.31,3462.31,3425.52,345838387,413804527616.0,1.07,0.32,10.9,0.74
2022-03-01,3471.36,3488.83,3491.13,3465.72,326001661,412562472960.0,0.73,0.77,26.52,0.7
2022-03-02,3478.29,3484.19,3486.62,3467.0,329367685,380143816704.0,0.56,-0.13,-4.64,0.71
2022-03-03,3495.93,3481.11,3500.29,3473.34,412594289,443621777408.0,0.77,-0.09,-3.08,0.89
2022-03-04,3459.98,3447.65,3474.88,3437.7,393526582,430669053952.0,1.07,-0.96,-33.46,0.85
2022-03-07,3438.56,3372.86,3438.56,3360.74,393589000,458156896256.0,2.26,-2.17,-74.79,0.85
2022-03-08,3372.55,3293.53,3383.63,3287.34,415926766,485623582720.0,2.85,-2.35,-79.33,0.9
2022-03-09,3303.71,3256.39,3321.48,3147.68,466285568,519833300992.0,5.28,-1.13,-37.14,1.0
2022-03-10,3312.18,3296.09,3326.58,3291.24,378336376,466084007936.0,1.09,1.22,39.7,0.81
2022-03-11,3259.32,3309.75,3315.66,3217.42,384067128,458687053824.0,2.98,0.41,13.66,0.83
2022-03-14,3271.89,3223.53,3297.8,3223.53,337968686,418055598080.0,2.24,-2.61,-86.22,0.73
2022-03-15,3192.36,3063.97,3196.92,3063.97,465037164,508158410752.0,4.12,-4.95,-159.56,1.0
2022-03-16,3107.67,3170.71,3177.79,3023.3,444667190,522305343488.0,5.04,3.48,106.74,0.96
2022-03-17,3215.01,3215.04,3260.17,3202.93,420813458,532549484544.0,1.81,1.4,44.33,0.91
2022-03-18,3207.15,3251.07,3260.78,3197.36,373035612,428415082496.0,1.97,1.12,36.03,0.8
2022-03-21,3255.62,3253.69,3267.5,3223.39,354228488,421076291584.0,1.36,0.08,2.62,0.76
2022-03-22,3249.54,3259.86,3279.11,3239.53,361196157,402798964736.0,1.22,0.19,6.17,0.78
2022-03-23,3264.79,3271.03,3279.89,3251.98,349875369,405422034944.0,0.86,0.34,11.17,0.75
2022-03-24,3256.06,3250.26,3266.89,3236.66,329006653,390727516160.0,0.92,-0.63,-20.77,0.71
2022-03-25,3247.16,3212.24,3257.11,3211.64,340020006,389770395648.0,1.4,-1.17,-38.02,0.73
2022-03-28,3185.17,3214.5,3230.22,3159.83,344994872,374472282112.0,2.19,0.07,2.26,0.74
2022-03-29,3216.01,3203.94,3229.18,3196.46,316273649,363964469248.0,1.02,-0.33,-10.56,0.68
2022-03-30,3217.59,3266.6,3266.6,3216.3,366753677,413008941056.0,1.57,1.96,62.66,0.79
2022-03-31,3256.14,3252.2,3272.04,3246.06,398439933,428089032704.0,0.8,-0.44,-14.4,0.86
2022-04-01,3234.67,3282.72,3287.23,3226.3,378210460,405675716608.0,1.87,0.94,30.52,0.81
2022-04-06,3269.43,3283.43,3288.11,3255.69,429642780,433556393984.0,0.99,0.02,0.71,0.93
2022-04-07,3267.81,3236.7,3290.26,3236.48,402626660,398081847296.0,1.64,-1.42,-46.73,0.87
2022-04-08,3239.88,3251.85,3257.09,3208.35,413826798,414037258240.0,1.51,0.47,15.15,0.89
2022-04-11,3239.86,3167.13,3239.86,3156.51,424160184,435129503744.0,2.56,-2.61,-84.72,0.91
2022-04-12,3165.12,3213.33,3214.54,3140.9,418321923,422455848960.0,2.33,1.46,46.2,0.9
2022-04-13,3199.8,3186.82,3225.47,3183.53,391156925,398216900608.0,1.31,-0.83,-26.51,0.84
2022-04-14,3203.63,3225.64,3240.0,3200.23,371242345,401191632896.0,1.25,1.22,38.82,0.8
2022-04-15,3210.7,3211.24,3229.87,3200.13,407842081,413498818560.0,0.92,-0.45,-14.4,0.88
2022-04-18,3185.94,3195.52,3204.03,3166.98,347365123,366380806144.0,1.15,-0.49,-15.72,0.75
2022-04-19,3192.09,3194.03,3207.83,3174.71,339944105,362769874944.0,1.04,-0.05,-1.49,0.73
2022-04-20,3189.89,3151.05,3191.83,3142.05,362047037,373572706304.0,1.56,-1.35,-42.98,0.78
2022-04-21,3138.43,3079.81,3160.9,3069.68,391934694,396542033920.0,2.89,-2.26,-71.24,0.84
