日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,3249.12,3253.89,3256.04,3215.4,41997553,50032599552.0,1.25,0.39,12.54,0.24
2022-01-05,3252.67,3269.08,3294.32,3250.57,60099453,64924670720.0,1.34,0.47,15.19,0.35
2022-01-06,3262.11,3236.01,3269.97,3233.71,47413581,53252220416.0,1.11,-1.01,-33.07,0.27
2022-01-07,3242.58,3280.75,3287.59,3241.98,61830502,62042045952.0,1.41,1.38,44.74,0.36
2022-01-10,3286.05,3293.41,3308.19,3269.82,50692690,50532721664.0,1.17,0.39,12.66,0.29
2022-01-11,3297.69,3301.48,3333.12,3284.12,46619336,50399336192.0,1.49,0.25,8.07,0.27
2022-01-12,3307.17,3307.95,3317.06,3277.1,54827141,51819483904.0,1.21,0.2,6.47,0.32
2022-01-13,3318.08,3299.09,3345.38,3298.94,52066811,56232586752.0,1.4,-0.27,-8.86,0.3
2022-01-14,3287.77,3229.1,3287.77,3227.08,54106122,61795239424.0,1.84,-2.12,-69.99,0.31
2022-01-17,3227.94,3226.81,3241.45,3213.93,39531160,44445523968.0,0.85,-0.07,-2.29,0.23
2022-01-18,3227.34,3272.23,3275.72,3220.99,43950958,48529317888.0,1.7,1.41,45.42,0.25
2022-01-19,3274.6,3284.91,3295.72,3272.77,39809117,44930519296.0,0.7,0.39,12.68,0.23
2022-01-20,3287.9,3340.12,3353.18,3287.54,57476544,69979897856.0,2.0,1.68,55.21,0.33
2022-01-21,3333.98,3324.88,3340.63,3315.06,43968799,51223099136.0,0.77,-0.46,-15.24,0.25
2022-01-24,3319.31,3329.27,3337.65,3297.09,37043900,42295955712.0,1.22,0.13,4.39,0.21
2022-01-25,3309.86,3256.61,3313.95,3256.39,42747189,46033043456.0,1.73,-2.18,-72.66,0.25
2022-01-26,3271.2,3279.38,3285.61,3249.36,34015758,37882228224.0,1.11,0.7,22.77,0.2
2022-01-27,3273.1,3235.7,3274.52,3234.09,41379042,46573596672.0,1.23,-1.33,-43.68,0.24
2022-01-28,3245.85,3187.38,3256.31,3183.53,46199982,49812163328.0,2.25,-1.49,-48.32,0.27
2022-02-07,3241.11,3295.39,3298.61,3240.41,53404360,56595117568.0,1.83,3.39,108.01,0.31
2022-02-08,3297.69,3344.04,3344.68,3289.22,59993492,58469413888.0,1.68,1.48,48.65,0.34
2022-02-09,3348.56,3348.97,3369.09,3339.23,53614592,56338358528.0,0.89,0.15,4.93,0.31
2022-02-10,3353.75,3389.42,3390.08,3339.26,52417715,57273097984.0,1.52,1.21,40.45,0.3
2022-02-11,3386.26,3419.76,3453.07,3382.25,58328591,72905162752.0,2.09,0.9,30.34,0.34
2022-02-14,3409.07,3341.61,3409.07,3330.0,51976968,59200762880.0,2.31,-2.29,-78.15,0.3
2022-02-15,3333.76,3316.95,3342.44,3297.01,41115140,46485451008.0,1.36,-0.74,-24.66,0.24
2022-02-16,3327.24,3347.67,3363.21,3325.14,38890707,42788264448.0,1.15,0.93,30.72,0.22
2022-02-17,3349.75,3355.22,3376.84,3341.78,42385158,47903391488.0,1.05,0.23,7.55,0.24
2022-02-18,3343.07,3393.29,3393.29,3342.52,36925638,41263516416.0,1.51,1.13,38.07,0.21
2022-02-21,3385.06,3379.63,3385.88,3351.19,33618222,38960746240.0,1.02,-0.4,-13.66,0.19
2022-02-22,3359.08,3353.87,3368.78,3331.95,40724028,47137646080.0,1.09,-0.76,-25.76,0.23
2022-02-23,3353.55,3338.42,3356.39,3327.49,40287629,45555992064.0,0.86,-0.46,-15.45,0.23
2022-02-24,3319.25,3278.7,3325.42,3262.97,68639544,70588153856.0,1.87,-1.79,-59.72,0.39
2022-02-25,3286.95,3272.82,3307.18,3261.5,64207360,59312387840.0,1.39,-0.18,-5.88,0.37
2022-02-28,3268.68,3281.72,3282.08,3244.86,51783844,55351674624.0,1.14,0.27,8.9,0.3
2022-03-01,3285.38,3299.86,3303.89,3264.82,43319055,48845943040.0,1.19,0.55,18.14,0.25
2022-03-02,3285.41,3290.3,3306.36,3284.14,45486205,44992786688.0,0.67,-0.29,-9.56,0.26
2022-03-03,3301.32,3317.13,3324.18,3301.32,54359826,53749326592.0,0.69,0.82,26.83,0.31
2022-03-04,3297.44,3273.47,3297.78,3264.38,47400773,50162520832.0,1.01,-1.32,-43.66,0.27
2022-03-07,3261.97,3210.79,3263.09,3198.4,58094597,64667204352.0,1.98,-1.91,-62.68,0.33
2022-03-08,3198.0,3120.63,3208.32,3114.5,58148756,62876774656.0,2.92,-2.81,-90.16,0.33
2022-03-09,3122.25,3062.27,3130.99,2972.68,66868342,65510185472.0,5.07,-1.87,-58.36,0.38
2022-03-10,3109.56,3067.56,3111.2,3067.17,44759434,52427900672.0,1.44,0.17,5.29,0.26
2022-03-11,3035.9,3084.96,3094.49,2995.52,49807219,53237736192.0,3.23,0.57,17.4,0.29
2022-03-14,3032.86,3001.99,3072.89,3001.99,44849513,49715668224.0,2.3,-2.69,-82.97,0.26
2022-03-15,2973.33,2842.39,2973.33,2842.39,75551245,75976482816.0,4.36,-5.32,-159.6,0.43
2022-03-16,2877.5,2970.89,2985.4,2832.26,69731274,74262466560.0,5.39,4.52,128.5,0.4
2022-03-17,3024.11,3008.54,3049.91,2986.55,61083397,69958184960.0,2.13,1.27,37.65,0.35
2022-03-18,3001.03,3085.97,3087.68,2994.05,56767621,63212470528.0,3.11,2.57,77.43,0.33
2022-03-21,3080.48,3056.45,3086.55,3036.49,43282266,50754706944.0,1.62,-0.96,-29.52,0.25
2022-03-22,3050.16,3097.1,3112.91,3048.55,45705375,45030004224.0,2.11,1.33,40.65,0.26
2022-03-23,3095.75,3079.36,3095.75,3054.6,36800424,39568061952.0,1.33,-0.57,-17.74,0.21
2022-03-24,3065.87,3082.5,3098.46,3060.68,34041672,37244088064.0,1.23,0.1,3.14,0.2
2022-03-25,3077.02,3059.47,3101.4,3056.53,35391110,37581094144.0,1.46,-0.75,-23.03,0.2
2022-03-28,3035.58,3075.77,3091.51,3016.87,43504248,41671864576.0,2.44,0.53,16.3,0.25
2022-03-29,3074.16,3071.52,3089.56,3064.67,33302363,34905687040.0,0.81,-0.14,-4.25,0.19
2022-03-30,3083.4,3126.27,3129.09,3078.74,45935524,48944692736.0,1.64,1.78,54.75,0.26
2022-03-31,3111.61,3130.34,3151.0,3107.52,45886459,45218658816.0,1.39,0.13,4.07,0.26
2022-04-01,3114.79,3171.14,3172.42,3108.71,47064486,50174848000.0,2.04,1.3,40.8,0.27
2022-04-06,3153.09,3194.14,3202.94,3152.31,54372956,52581847296.0,1.6,0.73,23.0,0.31
2022-04-07,3181.37,3149.32,3200.38,3145.83,46401505,44564911872.0,1.71,-1.4,-44.82,0.27
2022-04-08,3150.3,3186.18,3186.18,3137.56,41740825,44000656128.0,1.54,1.17,36.86,0.24
2022-04-11,3169.94,3110.33,3169.94,3101.81,45790892,48433584640.0,2.14,-2.38,-75.85,0.26
2022-04-12,3112.88,3138.78,3159.37,3088.75,45885263,48717920000.0,2.27,0.91,28.45,0.26
2022-04-13,3127.98,3141.39,3175.06,3119.51,45219594,47335069440.0,1.77,0.08,2.61,0.26
2022-04-14,3161.47,3164.49,3179.47,3147.66,41834537,45729633792.0,1.01,0.74,23.1,0.24
2022-04-15,3150.81,3168.12,3184.64,3148.58,44484155,47414799872.0,1.14,0.11,3.63,0.26
2022-04-18,3135.29,3080.31,3135.29,3071.64,42483160,50969254912.0,2.01,-2.77,-87.81,0.24
2022-04-19,3069.52,3065.54,3079.96,3049.18,39451039,47698693888.0,1.0,-0.48,-14.77,0.23
2022-04-20,3060.12,3014.1,3065.13,3009.86,39727839,42650661376.0,1.8,-1.68,-51.44,0.23
2022-04-21,3004.58,2992.81,3038.23,2981.42,45199004,45030072576.0,1.88,-0.71,-21.29,0.26
2022-04-22,2971.84,3026.8,3042.75,2971.03,41406784,42225513728.0,2.4,1.14,33.99,0.24
2022-04-25,2956.92,2885.93,2979.87,2885.38,60203886,61551772928.0,3.12,-4.65,-140.87,0.35
2022-04-26,2890.25,2838.85,2899.36,2832.27,52958935,52321900800.0,2.32,-1.63,-47.08,0.3
2022-04-27,2817.0,2868.08,2869.58,2815.82,54497536,54928912128.0,1.89,1.03,29.23,0.31
2022-04-28,2863.14,2894.08,2904.88,2859.94,48302403,50309871104.0,1.57,0.91,26.0,0.28
2022-04-29,2900.8,2936.77,2948.66,2864.53,56401024,58073307904.0,2.91,1.48,42.69,0.32
2022-05-05,2926.39,2922.24,2944.28,2913.6,48390139,46575465472.0,1.04,-0.49,-14.53,0.28
2022-05-06,2876.68,2842.39,2884.47,2839.3,37329047,37387278592.0,1.55,-2.73,-79.85,0.21
2022-05-09,2831.83,2825.91,2846.13,2811.51,29973402,31491306240.0,1.22,-0.58,-16.48,0.17
2022-05-10,2791.53,2837.82,2848.34,2773.1,45315812,44238495232.0,2.66,0.42,11.91,0.26
2022-05-11,2834.07,2850.39,2877.03,2826.63,52146127,52542111232.0,1.78,0.44,12.57,0.3
2022-05-12,2833.04,2826.14,2846.67,2811.49,35534311,34511825920.0,1.23,-0.85,-24.25,0.2
2022-05-13,2839.03,2858.81,2862.29,2839.03,33509157,35150299648.0,0.82,1.16,32.67,0.19
2022-05-16,2872.75,2845.01,2873.57,2835.9,33839421,34436878592.0,1.32,-0.48,-13.8,0.19
2022-05-17,2852.66,2880.8,2881.33,2847.37,36795223,37584196352.0,1.19,1.26,35.79,0.21
2022-05-18,2886.9,2867.57,2886.93,2853.97,32940096,34195615232.0,1.14,-0.46,-13.23,0.19
2022-05-19,2833.9,2855.1,2859.1,2828.64,32801592,31293175808.0,1.06,-0.43,-12.47,0.19
2022-05-20,2873.39,2916.88,2918.42,2872.71,47920640,47943462656.0,1.6,2.16,61.78,0.28
2022-05-23,2921.03,2913.34,2924.93,2898.82,48477268,42482457856.0,0.9,-0.12,-3.54,0.28
2022-05-24,2915.1,2869.9,2927.68,2869.71,52558149,45622784512.0,1.99,-1.49,-43.44,0.3
2022-05-25,2872.39,2885.19,2888.43,2869.61,35950346,31670001664.0,0.66,0.53,15.29,0.21
2022-05-26,2892.12,2900.27,2910.18,2867.02,39291035,36077988864.0,1.5,0.52,15.08,0.23
2022-05-27,2914.57,2916.91,2932.56,2903.56,36765868,35916116224.0,1.0,0.57,16.64,0.21
2022-05-30,2929.32,2910.83,2929.32,2900.6,35821489,34188289792.0,0.98,-0.21,-6.08,0.21
2022-05-31,2909.8,2930.24,2934.99,2901.32,41215970,41088218880.0,1.16,0.67,19.41,0.24
2022-06-01,2926.96,2920.87,2929.0,2903.01,33392832,33225320960.0,0.89,-0.32,-9.37,0.19
2022-06-02,2906.02,2910.69,2913.79,2897.77,37687909,37655749120.0,0.55,-0.35,-10.18,0.22
2022-06-06,2908.74,2934.72,2935.67,2885.86,58121626,56417877504.0,1.71,0.83,24.03,0.33
2022-06-07,2930.95,2944.12,2956.72,2925.1,46056791,47139930880.0,1.08,0.32,9.4,0.26
2022-06-08,2950.48,2976.76,2976.76,2936.08,53530360,54140562944.0,1.38,1.11,32.64,0.31
2022-06-09,2973.94,2989.66,3007.6,2970.78,60648776,61917195776.0,1.24,0.43,12.9,0.35
2022-06-10,2964.11,3017.58,3021.45,2955.7,67907822,67416711936.0,2.2,0.93,27.92,0.39
2022-06-13,2988.04,2975.8,2997.31,2957.04,59891866,65764642048.0,1.33,-1.38,-41.78,0.34
2022-06-14,2947.0,3035.01,3036.89,2941.19,65705528,70878736384.0,3.22,1.99,59.21,0.38
2022-06-15,3037.6,3100.5,3153.74,3037.36,90570432,111435177984.0,3.83,2.16,65.49,0.52
2022-06-16,3093.59,3026.85,3094.12,3026.04,70178468,86967492608.0,2.2,-2.38,-73.65,0.4
2022-06-17,3006.46,3037.55,3053.36,3001.41,59317691,71414145024.0,1.72,0.35,10.7,0.34
2022-06-20,3022.99,3000.35,3023.21,2988.03,61277243,68945547264.0,1.16,-1.22,-37.2,0.35
2022-06-21,2995.94,3010.26,3028.47,2985.72,66717448,66906877952.0,1.42,0.33,9.91,0.38
2022-06-22,3012.46,2973.72,3012.46,2973.72,75390502,67150154240.0,1.29,-1.21,-36.54,0.43
2022-06-23,2972.66,3024.39,3028.34,2972.66,81949658,75067817984.0,1.87,1.7,50.67,0.47
2022-06-24,3022.55,3020.98,3030.77,3000.85,72525665,67678223360.0,0.99,-0.11,-3.41,0.42
2022-06-27,3029.33,3053.7,3066.41,3022.43,70766264,70656331776.0,1.46,1.08,32.72,0.41
2022-06-28,3050.6,3068.08,3074.72,3034.55,61869143,61985632256.0,1.32,0.47,14.38,0.36
2022-06-29,3057.5,3046.72,3085.96,3043.14,58327219,60709679872.0,1.4,-0.7,-21.36,0.34
2022-06-30,3046.46,3068.18,3086.83,3044.61,51166124,54849236224.0,1.39,0.7,21.46,0.29
2022-07-01,3067.6,3054.2,3067.6,3041.21,46350001,46520521216.0,0.86,-0.46,-13.98,0.27
2022-07-04,3047.61,3049.7,3051.55,3029.1,43355533,45892634368.0,0.74,-0.15,-4.5,0.25
2022-07-05,3057.88,3053.6,3080.63,3032.61,51183634,54452814080.0,1.57,0.13,3.9,0.29
2022-07-06,3037.64,2989.0,3037.64,2975.34,52861629,55468487936.0,2.04,-2.12,-64.6,0.3
2022-07-07,2988.34,2988.16,3002.54,2978.42,38194019,42929163520.0,0.81,-0.03,-0.84,0.22
